a c średnia_energia odchylenie_standardowe log10
0.46 -0.38 -0.155626 0.00516709 -2.03075
0.46 -0.36 -0.115451 0.0408141 -1.45834
0.46 -0.34 -0.179726 0.027163 -1.50774
0.46 -0.32 -0.357667 0.0495151 -1.2933
0.46 -0.3 -0.189698 0.0431171 -1.25331
0.46 -0.28 -0.292913 0.0524554 -1.37904
0.46 -0.26 -0.458853 0.0615495 -1.26125
0.46 -0.24 -0.466999 0.048827 -1.26192
0.46 -0.22 -0.463652 0.0582621 -1.25908
0.46 -0.2 -0.391578 0.0585833 -1.23585
0.46 -0.18 -0.466382 0.0571095 -1.21131
0.46 -0.16 -0.452017 0.0634538 -1.19041
0.46 -0.14 -0.437664 0.0669674 -1.20926
0.46 -0.12 -0.432065 0.0528986 -1.22855
0.46 -0.1 -0.42273 0.0652003 -1.15279
0.46 -0.08 -0.397083 0.055478 -1.26868
0.46 -0.06 -0.381337 0.0856088 -1.12118
0.46 -0.04 -0.378651 0.0725604 -1.14087
0.46 -0.02 -0.343375 0.0695504 -1.27677
0.46 3.95517e-16 -0.354699 0.0612254 -1.1433
0.46 0.02 -0.340665 0.0599989 -1.14626
0.46 0.04 -0.343363 0.069694 -1.29831
0.46 0.06 -0.312605 0.0427129 -1.20233
0.46 0.08 -0.328231 0.0539419 -1.35398
0.46 0.1 -0.30714 0.0618299 -1.31152
0.46 0.12 -0.311641 0.0491908 -1.28834
0.46 0.14 -0.264808 0.0554198 -1.19921
0.46 0.16 -0.299759 0.0452153 -1.23162
0.46 0.18 -0.289283 0.0398003 -1.28729
0.46 0.2 -0.28644 0.0439251 -1.44771
0.46 0.22 -0.292092 0.046673 -1.25783
0.46 0.24 -0.282647 0.0523427 -1.40291
0.46 0.26 -0.305239 0.0553354 -1.28161
0.46 0.28 -0.268552 0.0648188 -1.35429
0.48 -0.7 -0.133187 0.0324716 -1.26551
0.48 -0.68 -0.117338 0.00565487 -1.94257
0.48 -0.66 -0.107814 0.0755301 -1.64765
0.48 -0.64 -0.117913 0.00172621 -2.26552
0.48 -0.62 -0.0645308 0.0185482 -1.83613
0.48 -0.6 -0.103964 0.0170578 -2.80837
0.48 -0.58 -0.134736 0.00596426 -2.21456
0.48 -0.56 -0.0888316 0.000536766 -2.33513
0.48 -0.54 -0.11828 0.00164894 -3.04243
0.48 -0.52 -0.108585 0.00086143 -3.52401
0.48 -0.5 -0.1246 0.000200181 -4.17768
0.48 -0.48 -0.139401 0.00239523 -2.84
0.48 -0.46 -0.120514 0.00329565 -2.71978
0.48 -0.44 -0.11687 0.00367169 -3.65175
0.48 -0.42 -0.125 0.00319527 -1.88992
0.48 -0.4 -0.171764 0.0212881 -1.82449
0.48 -0.38 -0.120984 0.0110533 -1.83122
0.48 -0.36 -0.17358 0.0331324 -1.45626
0.48 -0.34 -0.35962 0.0332001 -1.47879
0.48 -0.32 -0.429392 0.036641 -1.2572
0.48 -0.3 -0.238653 0.0328864 -1.51672
0.48 -0.28 -0.459563 0.0380345 -1.41864
0.48 -0.26 -0.46557 0.0405847 -1.31546
0.48 -0.24 -0.369115 0.0487301 -1.35126
0.48 -0.22 -0.4716 0.0688059 -1.30257
0.48 -0.2 -0.264008 0.0454133 -1.27747
0.48 -0.18 -0.468021 0.054881 -1.25018
0.48 -0.16 -0.461827 0.0576619 -1.198
0.48 -0.14 -0.452748 0.05116 -1.24243
0.48 -0.12 -0.438564 0.0514983 -1.1791
0.48 -0.1 -0.43306 0.0709221 -1.2066
0.48 -0.08 -0.41522 0.0574047 -1.21044
0.48 -0.06 -0.404623 0.059045 -1.1937
0.48 -0.04 -0.381992 0.0560069 -1.15883
0.48 -0.02 -0.364334 0.0621531 -1.21954
0.48 3.95517e-16 -0.360762 0.0500405 -1.14862
0.48 0.02 -0.353259 0.0614526 -1.18468
0.48 0.04 -0.339103 0.0536808 -1.16598
